site_location,availability,BHK,society,bath,balcony,total_sqft,area_type,price
Navi Peth,18-Dec,2,Omter A,2,0,1000 - 1285,Super built-up  Area,43.415
Padmavati,Ready To Move,5,,5,2,4239,Super built-up  Area,423
Parvati Darshan,Ready To Move,2,,1,0,884,Built-up  Area,58
Pashan,19-Mar,2,Skume R,2,1,1045,Super built-up  Area,98.89
Paud Road,Ready To Move,2,,2,2,1019,Super built-up  Area,49.86
Pirangut,Ready To Move,3,SoechHa,4,2,1935,Super built-up  Area,130
Prabhat Road,Ready To Move,3,,2,2,1135,Super built-up  Area,39.73
Pune Railway Station,Ready To Move,3,RothaVa,3,2,1680,Super built-up  Area,150
Rasta Peth,19-Jun,4,Raard B,5,2,2470,Super built-up  Area,247
Raviwar Peth,Ready To Move,4,Prhtsok,4,3,2825,Super built-up  Area,250
Sadashiv Peth,Ready To Move,3,Taonte ,3,1,2480,Super built-up  Area,330
Salunke Vihar,Ready To Move,5,,4,3,1800,Plot  Area,187
Sasson Road,Ready To Move,3,Ocrda M,3,3,1799,Built-up  Area,90
Satara Road,Ready To Move,4,PrOakSi,,,3606 - 5091,Super built-up  Area,304
Senapati Bapat Road,Ready To Move,1,Jae 2hu,1,1,400,Built-up  Area,11
Shaniwar Peth,18-Mar,2,Dieldli,2,1,1047,Built-up  Area,82
Shivaji Nagar,Ready To Move,2,Kesomrn,2,2,1282,Super built-up  Area,87
Shukrawar Peth,Ready To Move,2,,2,1,1020,Super built-up  Area,45.9
Sinhagad Road,Ready To Move,4,,3,1,1080,Plot  Area,155
Somwar Peth,Ready To Move,2,UKe 2nz,2,1,1495,Super built-up  Area,79.5
Swargate,Ready To Move,4,Vaidsi ,4,1,3260,Built-up  Area,240
Tilak Road,17-Oct,3,,2,2,1611,Super built-up  Area,64.44
Uruli Devachi,Ready To Move,4,K ncy R,5,2,3500,Super built-up  Area,425
Vadgaon Budruk,Ready To Move,3,,2,2,1500,Built-up  Area,95
Wadgaon Sheri,Ready To Move,3,EsniaGa,2,2,1500,Super built-up  Area,95
Viman Nagar,Ready To Move,4,Aaire S,5,,3206,Plot  Area,270
Vishrant Wadi,Ready To Move,3,Laihai ,3,0,1540,Super built-up  Area,50
Wagholi,18-May,3,Pamesy ,3,1,1639,Super built-up  Area,80
Wakadewadi,Ready To Move,4,,4,,700,Plot  Area,72
Wanowrie,Ready To Move,2,GrrvaGr,2,2,1303,Super built-up  Area,55.79
Warje,Ready To Move,2,K ncy R,1,1,1005,Super built-up  Area,110
Yerawada,Ready To Move,1,Puitea ,1,0,650 - 665,Super built-up  Area,18.41
Alandi Road,18-Oct,3,SunceEs,3,1,1305,Super built-up  Area,33.28
Ambegaon Budruk,Ready To Move,3,,4,0,600,Plot  Area,95
Anandnagar,Ready To Move,2,,1,1,1300,Super built-up  Area,115
Aundh,Ready To Move,3,Saowson,2,3,1440,Super built-up  Area,68
Aundh Road,18-Dec,2,,2,1,901,Super built-up  Area,35.14
Balaji Nagar,Ready To Move,3,Brway G,3,3,1725,Super built-up  Area,200
Baner,Ready To Move,3,,2,1,900,Built-up  Area,42
Baner road,Ready To Move,2,,2,1,1060,Super built-up  Area,55
Bhanda ar Road,Ready To Move,2,,2,1,1020,Super built-up  Area,48.45
Bhavani Peth,20-Dec,3,Myple M,3,2,1535,Super built-up  Area,65.99
Bibvewadi,Ready To Move,1,,1,1,530,Built-up  Area,20
Bopodi,Ready To Move,3,NRowse ,3,2,1464,Super built-up  Area,56
Budhwar Peth,Ready To Move,2,Spdoren,2,3,1350,Super built-up  Area,80
Bund Garden Road,Ready To Move,2,,2,2,1115,Super built-up  Area,50
Camp,Ready To Move,2,,2,2,1175,Super built-up  Area,47
Chandan Nagar,Ready To Move,2,,2,1,1113,Built-up  Area,62
Dapodi,Ready To Move,6,,4,2,1200,Plot  Area,225
Deccan Gymkhana,Ready To Move,5,,4,3,1640,Plot  Area,240
Dehu Road,Ready To Move,2,Spanda ,2,0,650,Built-up  Area,42
Dhankawadi,Ready To Move,2,,2,2,1325,Super built-up  Area,71.55
Dhayari Phata,Ready To Move,2,Shelash,2,3,950,Built-up  Area,31
Dhole Patil Road,18-Apr,3,,2,1,1396,Super built-up  Area,86.51
Erandwane,Ready To Move,2,,2,2,1050,Super built-up  Area,52.07
Fatima Nagar,Ready To Move,3,,3,2,1825,Super built-up  Area,100
Fergusson College Road,Ready To Move,2,Vasta C,2,1,1190,Super built-up  Area,49.98
Ganesh Peth,Ready To Move,2,,2,1,1220,Super built-up  Area,56.5
Ganeshkhind,Ready To Move,3,,2,2,1565,Super built-up  Area,75
Ghorpade Peth,Ready To Move,3,SaireSa,3,1,1891,Super built-up  Area,109
Ghorpadi,Ready To Move,2,,2,0,900,Built-up  Area,27
Gokhale Nagar,18-Jul,2,Mahesr ,2,1,1161,Super built-up  Area,55.15
Gultekdi,Ready To Move,1,DSousyl,1,0,633 - 666,Super built-up  Area,17.535
Hadapsar,Ready To Move,4,,4,2,315,Plot  Area,90
Hadapsar Industrial Estate,Ready To Move,1,IBityin,1,1,665,Super built-up  Area,36.85
Hingne Khurd,19-Jan,2,,2,1,1175,Super built-up  Area,73.5
Jangali Maharaj Road,Ready To Move,2,Goeur G,2,2,1425,Built-up  Area,80
Kalyani Nagar,Ready To Move,1,,1,0,1200,Plot  Area,20
Karve Nagar,18-Aug,3,,3,1,1200,Plot  Area,56.12
Karve Road,Ready To Move,2,Abeesmi,2,2,1255,Built-up  Area,67
Kasba Peth,Ready To Move,3,SoisoCa,4,2,2112.95,Super built-up  Area,145
Katraj,Ready To Move,1,,1,1,600,Super built-up  Area,22
Khadaki,18-Jul,3,SNnia E,3,2,1810,Super built-up  Area,100
Khadki,Ready To Move,2,,2,2,1200,Super built-up  Area,93
Kharadi,Ready To Move,2,,2,2,1033,Super built-up  Area,49
Kondhwa,Ready To Move,3,,3,2,1548,Super built-up  Area,89.5
Kondhwa Budruk,18-May,3,,3,3,1611,Super built-up  Area,66
Kondhwa Khurd,18-Jul,3,Sryalan,2,1,1400,Built-up  Area,40.43
Koregaon Pa ,Ready To Move,3,Graceik,2,2,1485,Super built-up  Area,67
Kothrud,Ready To Move,2,,2,1,2400,Built-up  Area,82
Law College Road,Ready To Move,2,Shvarji,2,1,1025,Super built-up  Area,44.5
Laxmi Road,Ready To Move,4,,3,2,600,Plot  Area,65
Lulla Nagar,Ready To Move,2,,2,,1225,Super built-up  Area,53
Mahatma Gandhi Road,Ready To Move,2,,2,1,1256,Built-up  Area,62.8
Mangalwar peth,Ready To Move,4,ArsiaEx,3,2,2268,Super built-up  Area,163
Manik Bagh,21-Dec,3,PrarePa,3,2,1100,Super built-up  Area,53
Ma et yard,Ready To Move,2,VMianri,2,0,1141,Super built-up  Area,62
Model colony,Ready To Move,1,Jae 1hu,1,1,400,Built-up  Area,12
Mukund Nagar,Ready To Move,2,,2,0,1400,Plot  Area,60
Mundhawa,Ready To Move,7,,7,,4100,Super built-up  Area,140
Nagar Road,18-Mar,1,,1,0,5.31Acres,Plot  Area,110
Nana Peth,Ready To Move,1,,1,0,15,Carpet  Area,30
Narayan Peth,Ready To Move,2,,2,2,1175,Super built-up  Area,48.27
Narayangaon,Ready To Move,2,,2,1,1100,Super built-up  Area,56
Navi Peth,Ready To Move,3,Puestol,3,2,1843,Super built-up  Area,95.84
Parvati Darshan,19-Dec,2,,2,1,1460,Super built-up  Area,80.5
Pashan,Ready To Move,3,Sovar S,2,2,1530,Super built-up  Area,74.5
Paud Road,Ready To Move,2,,2,1,1467,Built-up  Area,55
Pirangut,Ready To Move,1,,1,1,950,Super built-up  Area,40
Prabhat Road,Ready To Move,2,Prlla C,2,1,1246,Super built-up  Area,64.5
Pune Railway Station,19-Dec,1,GoityEt,1,1,711,Super built-up  Area,38
Rasta Peth,Ready To Move,2,RInceeg,2,2,1194,Super built-up  Area,46
Raviwar Peth,Ready To Move,3,ARngsd ,2,1,1358,Super built-up  Area,43.4
Sadashiv Peth,Ready To Move,6,,5,1,1500,Carpet  Area,130
Sahakar Nagar,Ready To Move,2,Goeur G,2,2,1420,Super built-up  Area,75
Salunke Vihar,Ready To Move,3,,2,1,1250,Super built-up  Area,68.75
Sasson Road,Ready To Move,2,,2,,1280,Built-up  Area,58
Satara Road,Ready To Move,2,Gruesaf,2,1,1209,Super built-up  Area,50
Senapati Bapat Road,Ready To Move,5,,5,2,4200,Built-up  Area,225
Shaniwar Peth,Ready To Move,4,,4,3,1215,Plot  Area,205
Shivaji Nagar,Ready To Move,3,Saite G,2,1,1315,Super built-up  Area,54.8
Shukrawar Peth,Ready To Move,3,,3,3,1800,Super built-up  Area,90
Sinhagad Road,Ready To Move,5,,4,0,1600,Built-up  Area,125
Somwar Peth,Ready To Move,3, ncyha,2,2,1600,Super built-up  Area,65
Swargate,Ready To Move,6,,5,2,3968,Plot  Area,900
Tilak Road,Ready To Move,3,AritaFe,3,2,1563,Super built-up  Area,52
Uruli Devachi,Ready To Move,3,SRidePr,2,2,1560,Super built-up  Area,72
Vadgaon Budruk,Ready To Move,3,Krrbsil,4,,2169,Super built-up  Area,115
Viman Nagar,Ready To Move,2,,2,2,1050,Super built-up  Area,55.5
Vishrant Wadi,Ready To Move,3,Emine P,3,1,3235,Super built-up  Area,235
Wagholi,Ready To Move,3,,3,0,1200,Plot  Area,66
Wakadewadi,Ready To Move,2,NRosete,2,2,1140,Super built-up  Area,46
Wanowrie,Ready To Move,3,,3,1,1500,Plot  Area,170
Warje,Ready To Move,3,,3,2,1560,Super built-up  Area,75
Yerawada,Ready To Move,2,Saowsri,2,2,1100,Super built-up  Area,70
Alandi Road,Ready To Move,3,,2,3,1260,Super built-up  Area,40.32
Ambegaon Budruk,18-Mar,2,Arcia S,2,1,1036,Super built-up  Area,50
Anandnagar,Ready To Move,3,DLhtsnd,3,3,1662,Built-up  Area,85.1
Aundh,Ready To Move,3,PuontBe,2,3,1464,Super built-up  Area,105
Aundh Road,Ready To Move,2,NCowsar,2,2,1234,Super built-up  Area,80
Balaji Nagar,Ready To Move,3,Arldsyo,3,1,1403,Super built-up  Area,55
Baner,Ready To Move,4,,4,1,915,Plot  Area,54.9
Baner road,Ready To Move,6,,8,3,3000,Plot  Area,451
Bhanda ar Road,Ready To Move,3,,2,2,1150,Super built-up  Area,42.9
Bhavani Peth,Ready To Move,4,RMudeat,4,2,3900,Built-up  Area,410
Bibvewadi,Ready To Move,5,,4,2,850,Built-up  Area,90
Bopodi,18-Mar,2,,2,1,929,Super built-up  Area,46
Budhwar Peth,Ready To Move,6,,8,3,2400,Plot  Area,450
Bund Garden Road,Ready To Move,3,,2,1,1350,Plot  Area,75
Camp,Ready To Move,2,,2,1,1135,Super built-up  Area,39.73
Chandan Nagar,Ready To Move,2,Saarea ,2,2,1405,Built-up  Area,70
Dapodi,18-Sep,2,,2,1,1200,Plot  Area,45.84
Deccan Gymkhana,18-Apr,4,SNnia E,4,3,2805,Super built-up  Area,154
Dehu Road,Ready To Move,2,IBityin,2,2,1161,Super built-up  Area,64.08
Dhankawadi,18-Dec,2,Soena A,2,3,1290,Super built-up  Area,74
Dhayari Phata,Ready To Move,3,IBityin,3,2,2557,Super built-up  Area,141
Dhole Patil Road,Ready To Move,3,Raaden ,3,2,1480,Built-up  Area,90
Fatima Nagar,20-Dec,3,SheldGr,3,0,1350,Super built-up  Area,54.54
Fergusson College Road,Ready To Move,3,MSingco,2,2,1580,Super built-up  Area,65
Ganesh Peth,17-Oct,3,,2,1,1470,Super built-up  Area,88.64
Ganeshkhind,18-Jun,1,,1,1,500,Super built-up  Area,14
Ghorpade Peth,18-Sep,2,PualeSk,2,1,1346,Super built-up  Area,61.92
Ghorpadi,Ready To Move,3,,3,3,1600,Super built-up  Area,90
